Position,Coverage
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,2
18,2
19,3
20,3
21,3
22,5
23,5
24,5
25,5
26,6
27,6
28,7
29,7
30,9
31,11
32,11
33,11
34,12
35,13
36,14
37,15
38,15
39,15
40,15
41,15
42,14
43,14
44,14
45,14
46,14
47,14
48,14
49,14
50,14
51,14
52,14
53,14
54,14
55,14
56,13
57,11
58,10
59,6
60,4
61,2
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,8
92,8
93,8
94,8
95,8
96,8
97,8
98,9
99,9
100,10
101,10
102,10
103,10
104,10
105,10
106,10
107,10
108,10
109,10
110,10
111,14
112,14
113,14
114,14
115,14
116,14
117,14
118,14
119,14
120,14
121,15
122,15
123,16
124,16
125,16
126,16
127,16
128,16
129,16
130,16
131,24
132,24
133,24
134,24
135,24
136,26
137,26
138,29
139,29
140,30
141,34
142,34
143,34
144,34
145,34
146,35
147,35
148,35
149,35
150,39
151,57
152,58
153,60
154,61
155,61
156,68
157,71
158,78
159,79
160,87
161,101
162,103
163,103
164,103
165,104
166,110
167,112
168,113
169,115
170,124
171,154
172,156
173,158
174,159
175,159
176,170
177,173
178,180
179,183
180,187
181,195
182,200
183,203
184,203
185,207
186,213
187,216
188,217
189,217
190,224
191,255
192,258
193,259
194,263
195,269
196,334
197,344
198,382
199,393
200,468
201,557
202,566
203,572
204,574
205,584
206,594
207,595
208,603
209,609
210,732
211,6380
212,8112
213,8445
214,8720
215,9232
216,13281
217,17796
218,19163
219,19370
220,19673
221,20761
222,21049
223,21630
224,22697
225,24563
226,26568
227,30469
228,32992
229,37223
230,37543
231,37818
232,38254
233,38549
234,48586
235,49286
236,49497
237,49829
238,50024
239,50257
240,50444
241,51525
242,52265
243,56479
244,57367
245,60781
246,61139
247,64185
248,65362
249,65624
250,67212
251,67580
252,68311
253,72898
254,73273
255,77135
256,77727
257,80552
258,81739
259,82605
260,85968
261,86195
262,87773
263,88231
264,88589
265,93969
