Position,Coverage
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,1
21,1
22,1
23,4
24,5
25,5
26,5
27,5
28,5
29,5
30,6
31,7
32,9
33,9
34,9
35,11
36,11
37,11
38,12
39,12
40,11
41,11
42,11
43,11
44,11
45,11
46,11
47,11
48,11
49,11
50,11
51,11
52,11
53,11
54,11
55,10
56,10
57,10
58,7
59,6
60,4
61,4
62,3
63,2
64,2
65,2
66,2
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,3
164,3
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,3
173,3
174,3
175,4
176,5
177,5
178,5
179,5
180,5
181,7
182,7
183,7
184,8
185,9
186,9
187,10
188,11
189,12
190,12
191,12
192,12
193,12
194,12
195,13
196,35
197,36
198,36
199,36
200,36
201,36
202,36
203,36
204,36
205,36
206,36
207,38
208,39
209,40
210,82
211,3034
212,4038
213,4198
214,4306
215,4515
216,6699
217,9196
218,9898
219,10002
220,10192
221,10923
222,11041
223,11392
224,12015
225,13062
226,14204
227,16470
228,17827
229,20325
230,20499
231,20609
232,20856
233,20965
234,26760
235,27270
236,27404
237,27596
238,27707
239,27827
240,27951
241,28460
242,28798
243,30916
244,31323
245,33638
246,33769
247,35743
248,36329
249,36441
250,37582
251,37759
252,38116
253,40928
254,41123
255,43087
256,43342
257,45049
258,45516
259,46051
260,48151
261,48270
262,49245
263,49445
264,49544
265,52698
